Species,Sample,Diet,Peak,Identity,Class,RT,Area
C.vit,CVIT5,Dietary,P116-RT-11.41,Unk. C15 sesquiterpene 3,Terpenoids,11.4839,416747
C.vit,CVIT3,Dietary,P116-RT-11.41,Unk. C15 sesquiterpene 3,Terpenoids,11.3383,182366
C.vit,CVIT2,Dietary,P116-RT-11.41,Unk. C15 sesquiterpene 3,Terpenoids,11.3813,94418
C.vit,CVIT4,Dietary,P116-RT-11.41,Unk. C15 sesquiterpene 3,Terpenoids,11.4024,22651
S.mom,SMOM1,Dietary,P116-RT-11.41,Unk. C15 sesquiterpene 3,Terpenoids,11.3235,22806
S.mom,SMOM5,Dietary,P116-RT-11.41,Unk. C15 sesquiterpene 3,Terpenoids,11.4822,12251
S.obo,SOBO1,Non-dietary,P116-RT-11.41,Unk. C15 sesquiterpene 3,Terpenoids,11.4024,7199389
S.obo,SOBO3,Non-dietary,P116-RT-11.41,Unk. C15 sesquiterpene 3,Terpenoids,11.5208,478048
S.obo,SOBO5,Non-dietary,P116-RT-11.41,Unk. C15 sesquiterpene 3,Terpenoids,11.3604,406168
T.ame,TAME1,Dietary,P116-RT-11.41,Unk. C15 sesquiterpene 3,Terpenoids,11.3662,671467
T.ame,TAME5,Dietary,P116-RT-11.41,Unk. C15 sesquiterpene 3,Terpenoids,11.3716,73360
A.her,AHER5,Non-dietary,P118-RT-11.52,Unk. C15 sesquiterpene 4,Terpenoids,11.5104,223177
A.her,AHER4,Non-dietary,P118-RT-11.52,Unk. C15 sesquiterpene 4,Terpenoids,11.5233,187879
A.her,AHER1,Non-dietary,P118-RT-11.52,Unk. C15 sesquiterpene 4,Terpenoids,11.5252,123346
B.sim,BSIM1,Dietary,P118-RT-11.52,Unk. C15 sesquiterpene 4,Terpenoids,11.5253,117895
S.mom,SMOM5,Dietary,P118-RT-11.52,Unk. C15 sesquiterpene 4,Terpenoids,11.499,357310
S.mom,SMOM4,Dietary,P118-RT-11.52,Unk. C15 sesquiterpene 4,Terpenoids,11.491,345595
S.mom,SMOM1,Dietary,P118-RT-11.52,Unk. C15 sesquiterpene 4,Terpenoids,11.5248,217135
S.obo,SOBO2,Non-dietary,P118-RT-11.52,Unk. C15 sesquiterpene 4,Terpenoids,11.5496,903644
T.ame,TAME4,Dietary,P118-RT-11.52,Unk. C15 sesquiterpene 4,Terpenoids,11.5168,3056039
T.ame,TAME3,Dietary,P118-RT-11.52,Unk. C15 sesquiterpene 4,Terpenoids,11.5218,284775
C.vit,CVIT3,Dietary,P130-RT-12.65,alpha-Guaiene,Terpenoids,12.6244,7757
G.sep,GSEP4,Non-dietary,P130-RT-12.65,alpha-Guaiene,Terpenoids,12.692,3308
S.mom,SMOM1,Dietary,P130-RT-12.65,alpha-Guaiene,Terpenoids,12.6526,359175
T.ame,TAME1,Dietary,P130-RT-12.65,alpha-Guaiene,Terpenoids,12.6784,399722
T.ame,TAME5,Dietary,P130-RT-12.65,alpha-Guaiene,Terpenoids,12.6145,334957
A.her,AHER5,Non-dietary,P149-RT-14.66,Unk. sesquiterpene 1,Terpenoids,14.6466,20621
B.sim,BSIM1,Dietary,P149-RT-14.66,Unk. sesquiterpene 1,Terpenoids,14.7015,31163
C.vit,CVIT5,Dietary,P149-RT-14.66,Unk. sesquiterpene 1,Terpenoids,14.7175,2910862
C.vit,CVIT3,Dietary,P149-RT-14.66,Unk. sesquiterpene 1,Terpenoids,14.5877,2581608
C.vit,CVIT4,Dietary,P149-RT-14.66,Unk. sesquiterpene 1,Terpenoids,14.6167,2573108
C.vit,CVIT1,Dietary,P149-RT-14.66,Unk. sesquiterpene 1,Terpenoids,14.6957,1772696
S.mom,SMOM3,Dietary,P149-RT-14.66,Unk. sesquiterpene 1,Terpenoids,14.7033,2502194
S.obo,SOBO1,Non-dietary,P149-RT-14.66,Unk. sesquiterpene 1,Terpenoids,14.5791,36077082
S.obo,SOBO3,Non-dietary,P149-RT-14.66,Unk. sesquiterpene 1,Terpenoids,14.7182,10125388
S.obo,SOBO5,Non-dietary,P149-RT-14.66,Unk. sesquiterpene 1,Terpenoids,14.6363,3336829
T.ame,TAME5,Dietary,P149-RT-14.66,Unk. sesquiterpene 1,Terpenoids,14.6138,4071196
C.vit,CVIT5,Dietary,P158-RT-15.07,alpha-Cadinene,Terpenoids,15.0521,21567276
C.vit,CVIT3,Dietary,P158-RT-15.07,alpha-Cadinene,Terpenoids,15.0697,6185468
C.vit,CVIT4,Dietary,P158-RT-15.07,alpha-Cadinene,Terpenoids,15.0476,1755277
C.vit,CVIT1,Dietary,P158-RT-15.07,alpha-Cadinene,Terpenoids,15.0655,198485
S.obo,SOBO1,Non-dietary,P158-RT-15.07,alpha-Cadinene,Terpenoids,15.1647,208536652
S.obo,SOBO2,Non-dietary,P158-RT-15.07,alpha-Cadinene,Terpenoids,15.113,51758454
S.obo,SOBO5,Non-dietary,P158-RT-15.07,alpha-Cadinene,Terpenoids,15.103,30102968
T.ame,TAME4,Dietary,P158-RT-15.07,alpha-Cadinene,Terpenoids,15.06,14760497
T.ame,TAME1,Dietary,P158-RT-15.07,alpha-Cadinene,Terpenoids,15.061,6000610
T.ame,TAME3,Dietary,P158-RT-15.07,alpha-Cadinene,Terpenoids,15.0336,1464306
T.ame,TAME5,Dietary,P158-RT-15.07,alpha-Cadinene,Terpenoids,15.0511,51285
A.her,AHER3,Non-dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.2291,16452
B.sim,BSIM3,Dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.1189,7198857
B.sim,BSIM5,Dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.225,3135166
B.sim,BSIM4,Dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.1226,2473923
B.sim,BSIM1,Dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.2841,2257904
B.sim,BSIM2,Dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.1531,2026153
C.vit,CVIT3,Dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.1968,29832090
C.vit,CVIT4,Dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.2051,7598557
C.vit,CVIT5,Dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.2476,6606884
C.vit,CVIT1,Dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.2765,4313265
G.sep,GSEP2,Non-dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.2386,2544975
G.sep,GSEP3,Non-dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.2176,212030
S.mom,SMOM3,Dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.2817,44078338
S.mom,SMOM1,Dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.223,19962825
S.mom,SMOM5,Dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.2382,6805350
S.obo,SOBO3,Non-dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.2971,33394844
S.obo,SOBO5,Non-dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.2176,3484194
S.obo,SOBO2,Non-dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.1313,3385057
T.ame,TAME5,Dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.2148,41185587
T.ame,TAME1,Dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.2435,9932859
T.ame,TAME2,Dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.2225,4751586
T.ame,TAME3,Dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.2012,4531717
T.ame,TAME4,Dietary,P161-RT-15.23,trans-Calamenene,Terpenoids,15.3056,2796120
A.her,AHER4,Non-dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.1157,1065
B.sim,BSIM1,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.2207,2082046
B.sim,BSIM3,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.3791,1762138
B.sim,BSIM4,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.0832,1301286
B.sim,BSIM5,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.359,630188
B.sim,BSIM2,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.107,349390
C.vit,CVIT5,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.3614,15389393
C.vit,CVIT3,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.3853,6446939
C.vit,CVIT1,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.2155,3948466
C.vit,CVIT4,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.1455,495926
C.vit,CVIT2,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.1909,352803
G.sep,GSEP2,Non-dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.1714,551463
G.sep,GSEP1,Non-dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.2568,78295
S.mom,SMOM3,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.2067,23602905
S.mom,SMOM1,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.1649,13516610
S.mom,SMOM4,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.2823,3861566
S.mom,SMOM5,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.168,3629752
S.obo,SOBO1,Non-dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.4234,118731087
S.obo,SOBO5,Non-dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.4094,40772866
S.obo,SOBO2,Non-dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.4073,15433854
S.obo,SOBO3,Non-dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.4055,14888930
T.ame,TAME4,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.3755,19747885
T.ame,TAME5,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.1572,14657101
T.ame,TAME1,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.377,7899743
T.ame,TAME3,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.1489,1107396
T.ame,TAME2,Dietary,P169-RT-16.21,alpha-Calacorene,Terpenoids,16.1692,24839
B.sim,BSIM1,Dietary,P178-RT-16.70,Unk. C15 sesquiterpene 5,Terpenoids,16.7321,5500
C.vit,CVIT3,Dietary,P178-RT-16.70,Unk. C15 sesquiterpene 5,Terpenoids,16.7064,2110605
C.vit,CVIT5,Dietary,P178-RT-16.70,Unk. C15 sesquiterpene 5,Terpenoids,16.6807,1294623
C.vit,CVIT4,Dietary,P178-RT-16.70,Unk. C15 sesquiterpene 5,Terpenoids,16.6805,273643
S.mom,SMOM1,Dietary,P178-RT-16.70,Unk. C15 sesquiterpene 5,Terpenoids,16.6667,311579
S.mom,SMOM5,Dietary,P178-RT-16.70,Unk. C15 sesquiterpene 5,Terpenoids,16.677,153548
S.mom,SMOM3,Dietary,P178-RT-16.70,Unk. C15 sesquiterpene 5,Terpenoids,16.6752,125803
S.obo,SOBO1,Non-dietary,P178-RT-16.70,Unk. C15 sesquiterpene 5,Terpenoids,16.7287,2672914
S.obo,SOBO3,Non-dietary,P178-RT-16.70,Unk. C15 sesquiterpene 5,Terpenoids,16.7287,2129799
S.obo,SOBO2,Non-dietary,P178-RT-16.70,Unk. C15 sesquiterpene 5,Terpenoids,16.7247,1761533
S.obo,SOBO5,Non-dietary,P178-RT-16.70,Unk. C15 sesquiterpene 5,Terpenoids,16.7277,1446274
T.ame,TAME4,Dietary,P178-RT-16.70,Unk. C15 sesquiterpene 5,Terpenoids,16.6957,600746
T.ame,TAME1,Dietary,P178-RT-16.70,Unk. C15 sesquiterpene 5,Terpenoids,16.7021,393905
B.sim,BSIM3,Dietary,P182-RT-16.82,beta-Calacorene,Terpenoids,16.8154,449390
C.vit,CVIT5,Dietary,P182-RT-16.82,beta-Calacorene,Terpenoids,16.7958,2208165
C.vit,CVIT3,Dietary,P182-RT-16.82,beta-Calacorene,Terpenoids,16.8191,543297
C.vit,CVIT1,Dietary,P182-RT-16.82,beta-Calacorene,Terpenoids,16.8217,405709
C.vit,CVIT4,Dietary,P182-RT-16.82,beta-Calacorene,Terpenoids,16.7985,331336
G.sep,GSEP3,Non-dietary,P182-RT-16.82,beta-Calacorene,Terpenoids,16.7956,2633
S.mom,SMOM3,Dietary,P182-RT-16.82,beta-Calacorene,Terpenoids,16.7932,247008
S.mom,SMOM1,Dietary,P182-RT-16.82,beta-Calacorene,Terpenoids,16.8155,28757
S.obo,SOBO1,Non-dietary,P182-RT-16.82,beta-Calacorene,Terpenoids,16.8443,14488068
S.obo,SOBO5,Non-dietary,P182-RT-16.82,beta-Calacorene,Terpenoids,16.8408,6263893
S.obo,SOBO2,Non-dietary,P182-RT-16.82,beta-Calacorene,Terpenoids,16.8393,4931070
S.obo,SOBO3,Non-dietary,P182-RT-16.82,beta-Calacorene,Terpenoids,16.8399,1963399
T.ame,TAME4,Dietary,P182-RT-16.82,beta-Calacorene,Terpenoids,16.8113,3226687
T.ame,TAME1,Dietary,P182-RT-16.82,beta-Calacorene,Terpenoids,16.8138,2142390
T.ame,TAME5,Dietary,P182-RT-16.82,beta-Calacorene,Terpenoids,16.8125,783472
S.mom,SMOM4,Dietary,P197-RT-17.79,Caryophyllenyl alcohol,Terpenoids,17.7693,437621
S.mom,SMOM1,Dietary,P197-RT-17.79,Caryophyllenyl alcohol,Terpenoids,17.7949,204075
T.ame,TAME3,Dietary,P197-RT-17.79,Caryophyllenyl alcohol,Terpenoids,17.7885,2020218
T.ame,TAME5,Dietary,P197-RT-17.79,Caryophyllenyl alcohol,Terpenoids,17.7915,626305
T.ame,TAME2,Dietary,P197-RT-17.79,Caryophyllenyl alcohol,Terpenoids,17.7891,483435
T.ame,TAME1,Dietary,P197-RT-17.79,Caryophyllenyl alcohol,Terpenoids,17.7918,363036
T.ame,TAME4,Dietary,P197-RT-17.79,Caryophyllenyl alcohol,Terpenoids,17.7936,225583
B.sim,BSIM1,Dietary,P206-RT-18.42,Unk. sesquiterpene 2,Terpenoids,18.4233,4790526
B.sim,BSIM2,Dietary,P206-RT-18.42,Unk. sesquiterpene 2,Terpenoids,18.442,1096206
B.sim,BSIM5,Dietary,P206-RT-18.42,Unk. sesquiterpene 2,Terpenoids,18.4292,338885
B.sim,BSIM4,Dietary,P206-RT-18.42,Unk. sesquiterpene 2,Terpenoids,18.4269,47855
C.vit,CVIT1,Dietary,P206-RT-18.42,Unk. sesquiterpene 2,Terpenoids,18.4392,593372
C.vit,CVIT5,Dietary,P206-RT-18.42,Unk. sesquiterpene 2,Terpenoids,18.4109,388289
C.vit,CVIT3,Dietary,P206-RT-18.42,Unk. sesquiterpene 2,Terpenoids,18.4361,332649
S.mom,SMOM1,Dietary,P206-RT-18.42,Unk. sesquiterpene 2,Terpenoids,18.3699,22668
S.obo,SOBO1,Non-dietary,P206-RT-18.42,Unk. sesquiterpene 2,Terpenoids,18.4473,1142336
S.obo,SOBO2,Non-dietary,P206-RT-18.42,Unk. sesquiterpene 2,Terpenoids,18.4505,133235
T.ame,TAME2,Dietary,P206-RT-18.42,Unk. sesquiterpene 2,Terpenoids,18.4415,3850536
T.ame,TAME5,Dietary,P206-RT-18.42,Unk. sesquiterpene 2,Terpenoids,18.4319,1014608
T.ame,TAME3,Dietary,P206-RT-18.42,Unk. sesquiterpene 2,Terpenoids,18.4366,897457
T.ame,TAME4,Dietary,P206-RT-18.42,Unk. sesquiterpene 2,Terpenoids,18.4264,846220
T.ame,TAME1,Dietary,P206-RT-18.42,Unk. sesquiterpene 2,Terpenoids,18.4289,675298
B.sim,BSIM3,Dietary,P213-RT-18.87,Mintsulfide,Terpenoids,18.8696,8498497
C.vit,CVIT1,Dietary,P213-RT-18.87,Mintsulfide,Terpenoids,18.8774,1037603
C.vit,CVIT3,Dietary,P213-RT-18.87,Mintsulfide,Terpenoids,18.8714,204816
C.vit,CVIT5,Dietary,P213-RT-18.87,Mintsulfide,Terpenoids,18.8471,154667
G.sep,GSEP5,Non-dietary,P213-RT-18.87,Mintsulfide,Terpenoids,18.8516,20161
S.obo,SOBO1,Non-dietary,P213-RT-18.87,Mintsulfide,Terpenoids,18.8865,885726
S.obo,SOBO2,Non-dietary,P213-RT-18.87,Mintsulfide,Terpenoids,18.8863,399439
S.obo,SOBO3,Non-dietary,P213-RT-18.87,Mintsulfide,Terpenoids,18.8946,231809
S.obo,SOBO5,Non-dietary,P213-RT-18.87,Mintsulfide,Terpenoids,18.8936,38619
T.ame,TAME5,Dietary,P213-RT-18.87,Mintsulfide,Terpenoids,18.8639,255407
T.ame,TAME4,Dietary,P213-RT-18.87,Mintsulfide,Terpenoids,18.8627,241082
T.ame,TAME1,Dietary,P213-RT-18.87,Mintsulfide,Terpenoids,18.8695,184651
A.her,AHER4,Non-dietary,P232-RT-20.03,Unk. terpene 2,Terpenoids,20.0061,858
B.sim,BSIM3,Dietary,P232-RT-20.03,Unk. terpene 2,Terpenoids,20.0263,497061
C.vit,CVIT1,Dietary,P232-RT-20.03,Unk. terpene 2,Terpenoids,20.0451,849455
C.vit,CVIT5,Dietary,P232-RT-20.03,Unk. terpene 2,Terpenoids,20.0259,652239
S.mom,SMOM1,Dietary,P232-RT-20.03,Unk. terpene 2,Terpenoids,20.0302,16182
S.obo,SOBO2,Non-dietary,P232-RT-20.03,Unk. terpene 2,Terpenoids,20.0574,26723
T.ame,TAME5,Dietary,P232-RT-20.03,Unk. terpene 2,Terpenoids,20.0282,2328434
T.ame,TAME4,Dietary,P232-RT-20.03,Unk. terpene 2,Terpenoids,20.027,757817
T.ame,TAME3,Dietary,P232-RT-20.03,Unk. terpene 2,Terpenoids,20.0272,549853
T.ame,TAME1,Dietary,P232-RT-20.03,Unk. terpene 2,Terpenoids,20.0319,495044
T.ame,TAME2,Dietary,P232-RT-20.03,Unk. terpene 2,Terpenoids,20.0297,143464
